Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
27/01/2025,Vente,"645000,00",1170.0,CESSY,1,Maison,100.0,6.0,401.0
24/02/2025,Vente,"222750,00",1150.0,LAGNIEU,1,Maison,90.0,4.0,183.0
09/01/2025,Vente,"1211150,00",1480.0,FAREINS,1,Maison,248.0,7.0,674.0
16/01/2025,Vente,"330000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,200.0,5.0,1934.0
27/02/2025,Vente,"444040,00",1300.0,VIRIGNIN,1,Maison,136.0,5.0,724.0
06/02/2025,Vente,"278000,00",1340.0,FOISSIAT,1,Maison,115.0,4.0,2180.0
20/02/2025,Vente,"65000,00",1150.0,VILLEBOIS,1,Maison,30.0,2.0,36.0
15/01/2025,Vente,"486000,00",1390.0,MIONNAY,1,Maison,112.0,4.0,811.0
15/01/2025,Vente,"285000,00",1540.0,VONNAS,1,Maison,99.0,4.0,1029.0
10/01/2025,Vente,"345000,00",1580.0,SONTHONNAX-LA-MONTAGNE,1,Maison,190.0,6.0,774.0
28/01/2025,Vente,"265000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,63.0,2.0,2505.0
29/01/2025,Vente,"285000,00",1100.0,OYONNAX,1,Maison,97.0,5.0,1483.0
28/02/2025,Vente,"228000,00",1460.0,NURIEUX-VOLOGNAT,1,Maison,135.0,6.0,920.0
28/02/2025,Vente,"358070,00",1140.0,SAINT-DIDIER-SUR-CHALARONNE,1,Maison,159.0,5.0,886.0
24/01/2025,Vente,"230000,00",1960.0,PERONNAS,1,Maison,108.0,5.0,731.0
27/02/2025,Vente,"333750,00",1090.0,FRANCHELEINS,1,Maison,105.0,6.0,467.0
17/02/2025,Vente,"240000,00",1660.0,MEZERIAT,1,Maison,97.0,4.0,1150.0
26/02/2025,Vente,"210000,00",1000.0,BOURG-EN-BRESSE,1,Maison,72.0,3.0,600.0
06/03/2025,Vente,"660000,00",1800.0,MEXIMIEUX,1,Appartement,56.0,2.0,444.0
20/02/2025,Vente,"330000,00",1000.0,BOURG-EN-BRESSE,1,Maison,112.0,5.0,887.0
14/02/2025,Vente,"163000,00",1480.0,FAREINS,1,Maison,135.0,5.0,993.0
06/02/2025,Vente,"319000,00",1600.0,MISERIEUX,1,Maison,123.0,4.0,500.0
13/03/2025,Vente,"416000,00",1170.0,CESSY,1,Maison,70.0,3.0,597.0
22/01/2025,Vente,"440000,00",1550.0,COLLONGES,1,Maison,80.0,4.0,59.0
14/03/2025,Vente,"335000,00",1800.0,BOURG-SAINT-CHRISTOPHE,1,Maison,123.0,5.0,359.0
13/01/2025,Vente,"460000,00",1800.0,VILLIEU-LOYES-MOLLON,1,Maison,140.0,7.0,500.0
23/01/2025,Vente,"480000,00",1170.0,SEGNY,1,Maison,86.0,4.0,705.0
16/01/2025,Vente,"120000,00",1460.0,PORT,1,Maison,70.0,3.0,309.0
05/02/2025,Vente,"74000,00",1640.0,JUJURIEUX,1,Maison,44.0,1.0,53.0
26/02/2025,Vente,"200000,00",1350.0,CEYZERIEU,1,Maison,50.0,2.0,114.0
