Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
07/01/2025,Vente,"468000,00",1550.0,FARGES,1,Maison,111.0,5.0,133.0
06/01/2025,Vente,"180000,00",1200.0,MONTANGES,1,Appartement,87.0,4.0,76.0
06/01/2025,Vente,"490000,00",1310.0,BUELLAS,1,Maison,190.0,6.0,500.0
06/01/2025,Vente,"490000,00",1310.0,BUELLAS,1,Maison,190.0,6.0,2452.0
07/01/2025,Vente,"295000,00",1990.0,BANEINS,1,Maison,95.0,2.0,965.0
06/01/2025,Vente,"425000,00",1390.0,RANCE,1,Maison,110.0,5.0,500.0
06/01/2025,Vente,"425000,00",1390.0,RANCE,1,Maison,110.0,5.0,777.0
09/01/2025,Vente,"1165000,00",1710.0,THOIRY,1,Maison,190.0,5.0,860.0
07/01/2025,Vente,"630000,00",1550.0,POUGNY,1,Maison,100.0,3.0,761.0
09/01/2025,Vente,"314000,00",1000.0,BOURG-EN-BRESSE,1,Maison,144.0,6.0,983.0
07/01/2025,Vente,"925000,00",1210.0,ORNEX,1,Maison,189.0,6.0,779.0
07/01/2025,Vente,"925000,00",1210.0,ORNEX,1,Maison,189.0,6.0,1000.0
03/01/2025,Vente,"211000,00",1100.0,BELLIGNAT,1,Maison,132.0,4.0,360.0
13/01/2025,Vente,"245000,00",1340.0,FOISSIAT,1,Maison,105.0,5.0,3378.0
13/01/2025,Vente,"245000,00",1340.0,FOISSIAT,1,Maison,105.0,5.0,700.0
10/01/2025,Vente,"265000,00",1340.0,FOISSIAT,1,Maison,118.0,5.0,2433.0
09/01/2025,Vente,"179000,00",1560.0,CORMOZ,1,Maison,70.0,2.0,927.0
07/01/2025,Vente,"235000,00",1800.0,MEXIMIEUX,1,Maison,69.0,3.0,184.0
08/01/2025,Vente,"265000,00",1310.0,CURTAFOND,1,Maison,122.0,5.0,900.0
06/01/2025,Vente,"215000,00",1150.0,LAGNIEU,1,Maison,78.0,4.0,83.0
07/01/2025,Vente,"295000,00",1300.0,MAGNIEU,1,Maison,115.0,4.0,374.0
08/01/2025,Vente,"267287,00",1120.0,MONTLUEL,1,Maison,78.0,3.0,191.0
08/01/2025,Vente,"132000,00",1300.0,BELLEY,1,Maison,92.0,3.0,377.0
10/01/2025,Vente,"250000,00",1130.0,LE POIZAT-LALLEYRIAT,1,Maison,115.0,6.0,552.0
16/01/2025,Vente,"87000,00",1290.0,PONT-DE-VEYLE,1,Maison,71.0,2.0,385.0
10/01/2025,Vente,"290000,00",1800.0,VILLIEU-LOYES-MOLLON,1,Maison,92.0,1.0,983.0
10/01/2025,Vente,"175000,00",1140.0,SAINT-DIDIER-SUR-CHALARONNE,1,Maison,77.0,4.0,1345.0
13/01/2025,Vente,"165000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,81.0,4.0,378.0
10/01/2025,Vente,"379900,00",1700.0,MIRIBEL,1,Maison,92.0,4.0,688.0
02/01/2025,Vente,"1200670,00",1170.0,CESSY,1,Maison,199.0,6.0,588.0
09/01/2025,Vente,"586400,00",1710.0,THOIRY,1,Maison,113.0,6.0,743.0
08/01/2025,Vente,"234200,00",1270.0,VERJON,1,Maison,138.0,6.0,1530.0
09/01/2025,Vente,"265000,00",1250.0,JASSERON,1,Maison,138.0,7.0,1064.0
09/01/2025,Vente,"265000,00",1250.0,JASSERON,1,Maison,138.0,7.0,500.0
15/01/2025,Vente,"361000,00",1340.0,BRESSE VALLONS,1,Maison,195.0,5.0,713.0
15/01/2025,Vente,"361000,00",1340.0,BRESSE VALLONS,1,Maison,195.0,5.0,500.0
09/01/2025,Vente,"230000,00",1800.0,MEXIMIEUX,1,Maison,108.0,4.0,84.0
07/01/2025,Vente,"100000,00",1330.0,AMBERIEUX-EN-DOMBES,1,Maison,96.0,4.0,489.0
10/01/2025,Vente,"354450,00",1700.0,MIRIBEL,1,Maison,106.0,5.0,235.0
07/01/2025,Vente,"150000,00",1400.0,DOMPIERRE-SUR-CHALARONNE,1,Maison,87.0,4.0,1087.0
10/01/2025,Vente,"618800,00",1700.0,MIRIBEL,1,Maison,120.0,4.0,621.0
10/01/2025,Vente,"618800,00",1700.0,MIRIBEL,1,Maison,120.0,4.0,634.0
08/01/2025,Vente,"490500,00",1390.0,TRAMOYES,1,Maison,117.0,5.0,500.0
08/01/2025,Vente,"490500,00",1390.0,TRAMOYES,1,Maison,117.0,5.0,508.0
06/01/2025,Vente,"483000,00",1700.0,MIRIBEL,1,Maison,104.0,4.0,500.0
06/01/2025,Vente,"483000,00",1700.0,MIRIBEL,1,Maison,104.0,4.0,1025.0
14/01/2025,Vente,"155000,00",1390.0,TRAMOYES,1,Maison,140.0,5.0,324.0
10/01/2025,Vente,"434600,00",1360.0,BALAN,1,Maison,101.0,5.0,800.0
06/01/2025,Vente,"160000,00",1680.0,MARCHAMP,1,Maison,138.0,6.0,104.0
14/01/2025,Vente,"619150,00",1550.0,COLLONGES,1,Maison,146.0,6.0,986.0
16/01/2025,Vente,"215000,00",1200.0,VALSERHONE,1,Appartement,45.0,2.0,103.0
16/01/2025,Vente,"215000,00",1200.0,VALSERHONE,1,Appartement,43.0,2.0,103.0
16/01/2025,Vente,"215000,00",1200.0,VALSERHONE,1,Appartement,25.0,1.0,103.0
15/01/2025,Vente,"441500,00",1420.0,SEYSSEL,1,Maison,109.0,5.0,793.0
